paperId,journalName,volume,year
e936f248b2c0489316ed1521656af2564c3502c3,Scientific Data,5,2016.0
8dd0c1e955c66092ff951941a151336211e6e171,Molecular Ecology Resources,1,2019.0
bab5e35001757719d0f8338f94dde2860dae784a,VLDB Endowment,3,2023.0
04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd,BioTechniques,32,2003.0
c07802ed8a25998e9bd44ee1ddbcc63b7eb34060,IEEE Transactions on Knowledge and Data Engineering,43,2023.0
6548106035c7208ad498730627874a482734b9ac,Neural computing & applications (Print),2,2021.0
82e1e8b222aeaca19d45375b31fdc825d1a821b8,Big Data and Cognitive Computing,24,2022.0
28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8,SIGMOD Conference,44,2021.0
c96fc88631f2b8e2fe192027a8a237445635328c,Italian National Conference on Sensors,32,2021.0
91bda0785eaf642515eefc9ff2ecd7ddbacaccae,IEEE transactions on fuzzy systems,16,2021.0
d008893e01fa7f6c5fb01dadf3f97ee96835c303,Remote Sensing,32,2020.0
b7034546bee38ba13d3b312fce893a22e33ce4dd,Comput. Networks,31,2021.0
0df5a4f9cc8a244715fe9968732497d2ac2a7cd1,ACM Computing Surveys,16,2020.0
0f38b3d717e0fcc6eacc9c6e78b252227440e04e,ACM Transactions on Embedded Computing Systems,13,2021.0
9f9afed22cdc73be627932270a9bcae341df99d4,SIGMOD record,37,2021.0
1ff76ab0fcf22110df62337d462e15d79a2a2593,IEEE Transactions on Industrial Informatics,49,2020.0
b795c74a0150ec091003ffbaa5bd7d74487c137b,VLDB Endowment,42,2020.0
799d5a8271887adede035644d878c7bd555576df,ISPRS Int. J. Geo Inf,33,2020.0
cd5b4b113d5fa90b5dc5aa372111b89d18df88fb,ACM Transactions on Management Information Systems,29,2021.0
98b9086750f08a21c8778ab986339321e9caf790,IEEE Network,7,2020.0
8698b15f3152427d1285a995af615fbe7be26c7b,Conference on Innovative Data Systems Research,18,2022.0
4b3ebac2e9415d7d1124d6677386f199ab9b3a5f,IEEE International Conference on Data Engineering,3,2022.0
95a7e4b4d535a9c61a6f466a090a4004ef151b50,IEEE International Conference on Data Engineering,38,2022.0
2327e4c7ee7658100dacd5409b2a7f5b49995070,International Conference on Digital Health,42,2021.0
a0134a8e9224c0c22e0dd4751031cae494259973,SIGMOD Conference,26,2021.0
22448f32f76a37a422d65f022dcdc628d44d6e52,SIGMOD Conference,5,2021.0
28cc044d5ba938472bc53d87240583982ad21663,Conference on Innovative Data Systems Research,38,2020.0
2737a61f6557fe7bf53a608c668de2eff1f582f0,Conference on Innovative Data Systems Research,34,2020.0
b05306f0b142e5afb3974b1b79996e5b82653662,Conference on Innovative Data Systems Research,19,2020.0
35403052458ed97b33659df3fc930bcd8559d959,International Conference on Data Mining Workshops (ICDMW),16,2020.0
eebf1a2705bf4ac256d141b0067f1b0ea1dc7632,EUROMICRO Conference on Software Engineering and Advanced Applications,49,2019.0
9727206903eb40d4fa42606711bad3402f2ba9aa,IEEE International Conference on Information Reuse and Integration,48,2018.0
cf41991d89301c3c12420d150792cb1163999962,International Conference on Computer Communications and Networks,50,2019.0
3590f4d44434c6a9d27441546cf6cbd003a632ce,IEEE International Conference on Data Engineering,45,2018.0
1e2e3184da5f266572984df1f10cbdaa18f19820,International Conference on Human Factors in Computing Systems,12,2018.0
7b4518707a9e79c0c037f61aecd064d930396122,Wireless on Demand Network Systems and Service,12,2018.0
d5f169880e30e1f76827d72f862555d00b01bed9,CACM,2,1975.0
5b1e1696564e5a3021ac3a501c9deeb6c0fbc637,International Journal of Computer Vision,13,1991.0
7fb7364cf5f9bd48a9dd3a92a5243aae128afc24,Knowledge and Information Systems,11,2002.0
e7cf3c1a584b16d5e15e5fbec7c05762385d669e,Nature Biotechnology,24,2019.0
69a2479a49154e3bd51e44e636ab5692ed20b142,SIGIR Forum,20,1999.0
9fb01cd85317f84fb4def982a81f19da2571bae1,IEEE Computer Society Conference on Computer Vision and Pattern Recognition,19,1997.0
5fe8ed6e2c75a3b352be695f423cc2fac19446fa,Science,3,2015.0
7f8859a57e35c66164678710187d4374822411d8,Microbiome,35,2014.0
c4dd9a19d822c965ce8cde55ab23b8a0b628278a,BMC Bioinformatics,8,2015.0
75b868e844e58db707fb5dbf7acbe2e26ba8c122,Knowledge and Information Systems,16,2016.0
c2872fb23b02597034a179f4adb82a00d6ffda8d,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,32,1999.0
81b7e5635241f0fae8eac9f703f604a1a0073038,IEEE,11,2015.0
ddeea66c9550f99f9a6768d4b240a9fe9957487d,IEEE International Conference on Computer Vision. ICCV,46,2001.0
b538999f458a12df98d197befcc4426525cf8237,Computer Vision and Pattern Recognition,32,2016.0
728211a7edfe536299670f34714de1b426d969dc,ACM SIGMOD Conference,46,2001.0
443b22d027bf81e7c9ab81af3338c26e363bf769,,31,2005.0
f39d3e88cce063ccd3ca01100efd44dcabc9d3b4,IEEE Transactions on Pattern Analysis and Machine Intelligence,28,2003.0
c9304811f55fbafb33b4d28dc7b8601394c3310e,VLDB Endowment,48,2017.0
d1281ad32607fb0ade628ba1b32c8ae7f06ad24e,Nucleic Acids Research,16,2011.0
7883f88428bb98508afeda2e65098ac56b640ca7,IEEE Transactions on Knowledge and Data Engineering,7,2012.0
d05ce7d99e08bb03bfd05d0de2de844a71bde6cf,IEEE Vehicular Technology Conference,7,2021.0
001e999b990a73428bf94bf758a5c510891ff8c0,IEEE International Conference on Data Engineering,44,2021.0
8c05273278e0eedd2c806215aa17cfab7fc1da0c,International Conference on Information and Knowledge Management,21,2018.0
6641c841fdbb6019578f74f155614b8bfe5d0ba0,SIGMOD Conference,5,2019.0
f2342368c2dbce3be28b5298f6fc67890416c405,ACM SIAM Symposium on Discrete Algorithms,50,2020.0
e44262fec6b4997b29a8207f4d580a63d31545c5,SIGMOD Conference,16,2019.0
64dce74b6914efc4a40c11fae8a929499e004340,IEEE International Conference on Data Engineering,27,2020.0
05ce1b6b83f1162b9be57c038c7600541ac56166,ACM SIAM Symposium on Discrete Algorithms,26,2017.0
e8cd4f85bd9948db0a3296c65301b278852f3a7b,SIGMOD Conference,24,2020.0
762d3e4453e4173527d2e0436dd9d32a218076dc,IEEE International Conference on Data Engineering,7,2018.0
81c103559f508ea2896a14f308a67be90b91706b,IEEE Conference on High Performance Extreme Computing,45,2019.0
1c8b5b018f61c8170554a2cd38b689f3b1e5eab2,SIGMOD Conference,48,2018.0
1d0d84a1f4e8de75151d88bd152816f18109d032,IEEE International Conference on Data Engineering,16,2017.0
3ca3f4273e70d719858550d1639ab28d3dc67a7a,USENIX Conference on File and Storage Technologies,2,2018.0
e34ae7318201b7e903d6a75a558fe3eba4463729,SIGMOD Conference,28,2017.0
8e46b32f42aa8b180af260f4a4985fc6fb0feacc,"International Conference for High Performance Computing, Networking, Storage and Analysis",31,2018.0
d7d69f36b3571fabf0a6931a636a3c4e086f8788,SDM,39,2017.0
a2ec47b9bcc95d2456a8a42199233e5d9129ef18,arXiv.org,49,2020.0
b7f5973dbf2ef76fcc3aea616a7f72ca79f09020,Structural Health Monitoring,6,2023.0
aea731e7cf33aa3d482b13f42cedbc1adb3271c6,Conference on Empirical Methods in Natural Language Processing,14,2022.0
a85c45ce7c893388e8eafa8a653b042e1497db48,Knowledge Discovery and Data Mining,15,2021.0
20a3ed03888037e2802fa9abad02ffa0a8dcc228,International Conference on Biomedical Ontology,36,2021.0
8cb6b81d333f907a3d9d0aa4fb4859bf5984ef78,Journal of Computing and Information Science in Engineering,17,2021.0
77e6c9917536949a82e5ca02c4882b69ee8a4fd6,IEEE Access,15,2020.0
965359b3008ab50dd04e171551220ec0e7f83aba,Neural Information Processing Systems,46,2019.0
8f99f5cb3950fcd1628c6a563be4b4fc4966fa66,"IEEE International Conference on Systems, Man and Cybernetics",19,2018.0
417326e51d78ba8bd2621f23e539b41bbdd336d6,IEEE Transactions on Control Systems Technology,47,2019.0
2582ab7c70c9e7fcb84545944eba8f3a7f253248,Neural Information Processing Systems,26,2013.0
627d7d631fd4e0e2179f82199f014deb7ff0ea0b,Proc. ACM Program. Lang,15,2019.0
72a6a5d5864eb915231c7128b90977f1d2acf6e9,International Journal of Geographical Information Science,43,2019.0
eeac4411ae119c6c7ac33a11f762f2495b4dd960,IEEE Access,5,2018.0
633e2fbfc0b21e959a244100937c5853afca4853,International Conference on Learning Representations,34,2020.0
ddc6e677715c03fe574319d3f80a3e1577bdbdd3,Technometrics,48,2018.0
d4ae73ac17c6bc8a537df2cebf50c9b4a6b420d5,IEEE International Conference on Big Data (Big Data),19,2019.0
9e195234688778b2beb3528632e78dbabf816332,International Conference on Conceptual Modeling,29,2020.0
4b4fa7f729dc52512b77c42e8da4b2fb0ceb54a5,IEEE International Conference on Big Data (Big Data),25,2019.0
818de553ecd306735971aba04bbfc29d17457084,Knowledge Discovery and Data Mining,8,2017.0
e968ae8e98fff9e28468383a1826fca4a2ae5245,International Conference on Conceptual Modeling,11,2015.0
4ab9195dc097db300bd805b49802a2340223208f,International Conference on Information and Knowledge Management,20,2020.0
37595f7a51982d776e57c7280b9445474d90f0be,International Conference on Pattern Recognition,3,2020.0
f288e2238ac8725baa7ca9874bbc3fed1e89a632,International Conference on Machine Learning,25,2024.0
fae129338c0899576524506008427f64477d3967,International Joint Conference on Artificial Intelligence,44,2019.0
