proceedingId,conferenceName
d1e34c64-c849-40a9-a3f9-55e44edf6f28,/ International Conference of Software Engineering
40fe7d82-ff3d-43cb-8607-432eaff3a3c9,ACM SIGCOMM Conference
d716a2d8-6342-407c-89ec-58d928710691,AIP Conference
70d0b1a4-9340-4d45-9cc3-bacdf81e143b,AIP Conference
c35f2025-9947-426b-82f0-e101c04b9a91,Advanced Industrial Conference on Telecommunications
1ef5adad-21ac-4a5c-a8d9-98f9e8409b36,Advanced Industrial Conference on Telecommunications
55ff8b66-9c99-482a-8ebf-0b393d1f73b1,American Control Conference
df55c7e5-6011-4238-adee-c0196bf8afc0,CBU International Conference
3f815452-106a-4d7c-a30a-9f76055ac494,CIE International Conference on Radar (Cat No.01TH8559)
9e6e8b87-a359-4281-ab21-5269012cf991,Chinese Control and Decision Conference
83a78be3-b980-4650-90b7-259eb8172cb2,"Conference Record of Thirty Asilomar Conference on Signals, Systems and Computers"
638fda5d-ed66-46fc-91b2-2ad1836c4504,Conference on Data Science and Machine Learning Applications (CDMA)
528ab2c2-aac3-4521-9073-f2724c9a0d46,Conference on Swarm Intelligence and Evolutionary Computation (CSIEC)
42a68e53-b129-4482-a72c-88c5ec3b54d8,Confluence
b8d0a712-09d0-4ba0-8c43-1e4727b5aef2,Cyber
f98a8c6a-d867-4e10-898f-c08e6089dd7c,Cybersecurity and Cyberforensics Conference
f9fc3246-3bd4-4afb-a338-badefc7548cb,Cybersecurity and Cyberforensics Conference
81032f94-775b-4bc3-be9d-50dc389bc2cd,DoD High Performance Computing Modernization Program Users Group Conference
4f07dec8-ec05-4c94-b0b5-d02281682ac7,E3S Web of Conferences
dd8f21c1-c9e1-48a6-b863-e32a6a6b05d7,European Conference on Cognitive Ergonomics
3694bb52-8e5c-4b78-83b7-a7682d53b713,European Conference on Electrical Engineering and Computer Science
603aa1f2-c156-4505-9b62-84c048857e87,European Radar Conference
0aee16e5-b3ca-4b10-afbb-983489d3c41a,IEEE / ITU International Conference on Artificial Intelligence for Good (AI4G)
39fc463f-0a71-421e-b026-72eee0ebdb14,"IEEE Advanced Information Management, Communicates, Electronic and Automation Control Conference"
36860e0e-75e5-4151-97fc-ab65dd04bb11,"IEEE Advanced Information Technology, Electronic and Automation Control Conference"
8809f51c-186e-4dd0-839e-5a38bcd8419f,IEEE Aerospace Conference
4911e73c-6662-442a-8e45-c3befb68f231,IEEE Asia Pacific Conference on Computer Science and Data Engineering (CSDE)
823b191f-6b0c-41ea-bc28-5307dfb8a6a1,IEEE Asia Pacific Conference on Computer Science and Data Engineering (CSDE)
aedb1369-445d-4e26-bbda-7a0e955451a4,IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering
292039d2-748c-4ba7-9ea6-fc9c53ede374,IEEE Conference on Artificial Intelligence for Applications
df7e588a-6326-40e3-97a7-335cb40cae08,IEEE Conference on Big Data and Analytics (ICBDA)
d8869006-ea23-4340-87b7-d587a71e9de6,IEEE Conference on Energy Internet and Energy System Integration (EI2)
3bc14850-3165-42fc-adab-71f21b486a81,IEEE Conference on Industrial Electronics and Applications
075cb582-42d3-4a68-99c7-67a140a2aeda,IEEE Conference on Information and Communication Technology
6ae6e020-f6bc-4b8f-8373-23b275ad5c19,IEEE India Conference
1e48656c-b1ce-4313-ba7d-c6dbc03d471a,IEEE India Conference
9b23b5dd-072f-4370-bc85-8e89719b059a,"IEEE Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)"
375feae1-dced-4320-b39f-638415afdebf,IEEE International Conference Actual Problems of Unmanned Aerial Vehicles Developments (APUAVD)
0d62de0f-869f-4fe4-9c4c-014471a8f5f3,IEEE International Conference for Convergence in Technology (I2CT)
4d774903-14a3-466f-ab89-fdf3c10e4aa5,IEEE International Conference for Innovation in Technology (INOCON)
1d273bb9-98dc-4c16-b6b5-b9c4c62d1a71,IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA)
805b84a5-7216-402b-a8db-2021054cff1f,IEEE International Conference on Big Data Analysis (ICBDA)(
ccf6e307-ea74-4ec7-950a-66a342ab33f2,IEEE International Conference on Big Data Intelligence and Computing (DataCom)
266315bd-2774-498f-bfb3-60d800d224de,IEEE International Conference on Big Data and Artificial Intelligence (BDAI)
fd5dbbdc-4f13-4019-bdde-db55e440dd83,IEEE International Conference on Cloud Computing and Big Data Analysis (ICCCBDA)
45c032d6-e2d8-4405-8fac-653aed087821,IEEE International Conference on Communication Software and Networks
6fe3f414-165e-4d83-880a-6420cc33b14d,"IEEE International Conference on Communication, Networks and Satellite (COMNESTAT)"
f64e699f-4ff0-49ea-8bf5-10ff528e0e40,IEEE International Conference on Current Trends in Advanced Computing (ICCTAC)
08b72560-9628-40a1-8a7a-a908454abc31,"IEEE International Conference on Cybernetics, Cognition and Machine Learning Applications (ICCCMLA)"
5089610f-c0cb-42e1-be14-ae373bf82c7b,IEEE International Conference on Electronic Information and Communication Technology
20a33929-10e5-401f-a4a4-f6e2012e4fef,IEEE International Conference on Electronic Measurement & Instruments
0971cab5-a0e3-4e04-9a15-f3a8639ffe22,IEEE International Conference on Electronics Information and Emergency Communication
2214fefd-f03b-4017-8a7f-def6c73cde8b,IEEE International Conference on Electronics and Nanotechnology
d75dcc3f-de1b-473e-aa50-74053fd006c4,"IEEE International Conference on Electronics, Computing and Communication Technologies"
327db279-adaa-4a4d-beb7-0896f31d4cd5,IEEE International Conference on Engineering Technologies and Applied Sciences (ICETAS)
868232d9-a395-4e15-98fa-6ea3b1c087be,IEEE International Conference on Engineering Technologies and Applied Sciences (ICETAS)
d4b4d32f-edd7-461e-af36-28f9fc0bbc18,IEEE International Conference on Industrial Electronics: Developments & Applications (ICIDeA)
8f443d35-fdf0-4c9a-a6da-1d09454ab215,IEEE International Conference on Industrial Engineering and Engineering Management
181649b1-5d12-4483-a441-7ba6f3024e78,IEEE International Conference on Industrial Engineering and Engineering Management
74252305-fb6b-4056-ac45-243e6bf93647,IEEE International Conference on Industrial Informatics
27053f6a-f201-40f3-9b90-81c67200f4c9,IEEE International Conference on Innovative Research and Development (ICIRD)
359f5108-73d9-42b4-ae31-7f47fcf7470c,IEEE International Conference on Intelligent Computing and Intelligent Systems
5ec94150-7ba7-4004-8c9f-54cb83b1ef15,IEEE International Conference on Methods and Systems of Navigation and Motion Control (MSNMC)
380a9f53-2cc7-42bc-bae8-3870761b05cc,IEEE International Conference on Pervasive Services
6a4f8fe7-4cc7-4c27-a31e-f45fdf050c03,"IEEE International Conference on Power, Control, Signals and Instrumentation Engineering (ICPCSI)"
1dd077cf-4074-4859-84b0-ec81fe27139d,IEEE International Conference on Progress in Informatics and Computing
3e6320cf-3c15-4c9f-9214-f2f538cbeb14,"IEEE International Conference on Recent Trends in Electronics, Information & Communication Technology"
d49a4f5b-18b8-4a59-a614-187f5ae87929,IEEE International Conference on Software Engineering and Service Science (ICSESS)
10fb866f-d66a-4dd1-87bf-9ccb86be90ea,IEEE International Conference on Solid State and Integrated Circuit Technology
17563e53-4eb1-45a0-9f4b-6cebf8320274,IEEE International Conference on the Experience of Designing and Application of CAD Systems (CADSM)
b4188136-881b-457e-83d4-acdcd028c6ae,IEEE International Conference on the Experience of Designing and Application of CAD Systems (CADSM)
e8de4105-59c7-46d6-ac73-ee8b7f7b9481,"IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)"
9ea1f0c7-757c-4276-a480-a1dc4c065e0b,"IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)"
1cadb42f-096b-40db-9ad2-a4e421fd3b83,IEEE International conference for Convergence in Technology (I2CT)
5ffdaa75-13de-464a-a3b4-cf99c41557d1,IEEE Joint International Information Technology and Artificial Intelligence Conference
f6ed87c3-3731-4a59-9500-9e377ed7dbb3,"IEEE Open Conference of Electrical, Electronic and Information Sciences (eStream)"
94682b7c-0476-4838-8604-8f3f4c048639,IEEE Radar Conference. Radar into the Next Millennium
4446baeb-7ac7-42b5-bfb8-629e5e12ff62,IEEE Ukraine Conference on Electrical and Computer Engineering (UKRCON)
3f43f69b-2851-4b1f-8892-9e7909529ab8,IEEE Ukraine Conference on Electrical and Computer Engineering (UKRCON)
b19507b9-3769-4e13-9f18-2e874245c941,IEEE Ukraine Conference on Electrical and Computer Engineering (UKRCON)
38547d27-ead2-4043-8b18-a8a23baa6395,IEEE World Conference on Photovoltaic Energy Conference
e7dd7135-dc86-463c-8ecf-4deb0e9224ce,IFIP International Conference on Wireless and Optical Communications Networks
9ba73534-823b-41ce-95fc-7815a49d4ecd,IOP Conference Series: Earth and Environment
e211162c-c55e-441f-83ea-f3887e84e189,IOP Conference Series: Earth and Environment
57658566-fe89-41e5-b2cf-0ee6742dbd1d,IOP Conference Series: Earth and Environment
57d67c12-d5ef-47f9-b827-cfa6e87092d1,IOP Conference Series: Materials Science and Engineering
938e5f3b-23fc-40b9-8a62-a1c0a071f088,IOP Conference Series: Materials Science and Engineering
