conferenceName,paperTitle,citations
/ International Conference of Software Engineering,Teaching novice conceptual data modellers to become experts,16
ACM SIGCOMM Conference,ARROW,11
AIP Conference,Decision support system for selection of food aid recipients using SAW method,24
Advanced Industrial Conference on Telecommunications,Analysis and evaluation of unstructured data: text mining versus natural language processing,82
American Control Conference,Distributed Asynchronous Deterministic and Stochastic Gradient Optimization Algorithms,2001
CIE International Conference on Radar (Cat No.01TH8559),Netted radar sensing,151
Chinese Control and Decision Conference,Study on ring signature and its application,6
"Conference Record of Thirty Asilomar Conference on Signals, Systems and Computers",Wavelet transforms and denoising algorithms,36
Conference on Data Science and Machine Learning Applications (CDMA),Ontology Opportunities and Challenges: Discussions from Semantic Data Integration Perspectives,6
Confluence,Improving RSA Algorithm Using Multi-Threading Model for Outsourced Data Security in Cloud Storage,22
Cyber,Managing data lakes in big data era: Whats a data lake and why has it became popular in data management ecosystem,141
Cybersecurity and Cyberforensics Conference,Unsupervised Representation Learning of Image-Based Plant Disease with Deep Convolutional Generative Adversarial Networks,86
Cybersecurity and Cyberforensics Conference,HealChain: A Decentralized Data Management System for Mobile Healthcare Using Consortium Blockchain,21
DoD High Performance Computing Modernization Program Users Group Conference,Enhancements to the eXtensible Data Model and Format XDMF,31
E3S Web of Conferences,State of current data storage market and development of tools for increasing data storage systems reliability,6
European Conference on Cognitive Ergonomics,A Machine Learning Approach for Heart Rate Estimation from PPG Signal using Random Forest Regression Algorithm,22
European Radar Conference,Probabilistic Track Initiation Algorithm Using Radar Velocity Information in Heavy Clutter Environments,6
IEEE / ITU International Conference on Artificial Intelligence for Good (AI4G),Building Ethical AI from News Articles,3
"IEEE Advanced Information Technology, Electronic and Automation Control Conference",Research on Data Security in Big Data Cloud Computing Environment,15
IEEE Aerospace Conference,Autonomous UAV with vision based on-board decision making for remote sensing and precision agriculture,122
IEEE Asia Pacific Conference on Computer Science and Data Engineering (CSDE),Efficient Decentralized Data Storage Based on Public Blockchain and IPFS,23
IEEE Asia Pacific Conference on Computer Science and Data Engineering (CSDE),Interpretable Movie Review Analysis Using Machine Learning and Transformer Models Leveraging XAI,4
IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering,The big data analysis,132
IEEE Conference on Artificial Intelligence for Applications,A machine-learning apprentice for the completion of repetitive forms,27
IEEE Conference on Big Data and Analytics (ICBDA),A New Approach to Use Big Data Tools to Substitute Unstructured Data Warehouse,7
IEEE Conference on Energy Internet and Energy System Integration (EI2),Process Mining for Wind Turbine Maintenance Process Analysis: A Case Study,6
IEEE Conference on Information and Communication Technology,Towards comparison of real time stream processing engines,6
IEEE India Conference,A Data warehouse based analysis on CDR to depict market share of different mobile brands,10
IEEE International Conference for Innovation in Technology (INOCON),Implementation of A Distributed P2P Storage Network,5
IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA),Blockchain-based Medical Data Storage and Sharing System,7
IEEE International Conference on Big Data Analysis (ICBDA)(,VideoMark: A video-based learning analytic technique for MOOCs,9
