journalName,year,impactFactor
North American Chapter of the Association for Computational Linguistics,2020,28.0
Neural Information Processing Systems,2019,25.0
Neural Information Processing Systems,2022,23.0
Neural Information Processing Systems,2021,18.0
North American Chapter of the Association for Computational Linguistics,2021,17.0
Neural Information Processing Systems,2023,12.0
Nature Biotechnology,2019,12.0
Information Technology Convergence and Services,2017,12.0
Neural Information Processing Systems,2018,11.0
Neural Information Processing Systems,2017,9.0
Nature Biotechnology,2020,9.0
Journal of machine learning research,2023,9.0
Journal of machine learning research,2021,9.0
Nature Communications,2020,9.0
Neural Information Processing Systems,2020,8.0
bioRxiv,2021,8.0
Neural Information Processing Systems,2017,7.0
Neural Information Processing Systems,2018,7.0
North American Chapter of the Association for Computational Linguistics,2018,7.0
FAT,2019,7.0
Journal of machine learning research,2020,7.0
Trans. Mach. Learn. Res,2023,7.0
Information Technology Convergence and Services,2018,7.0
Neural Information Processing Systems,2017,6.0
Neural Information Processing Systems,2018,6.0
Minds and Machines,2019,6.0
Nature,2019,6.0
Nature,2018,6.0
Annual Meeting of the Association for Computational Linguistics,2022,6.0
Annual Meeting of the Association for Computational Linguistics,2019,6.0
Science,2021,6.0
International Journal of Computer Vision,2016,6.0
International Journal of Computer Vision,2018,6.0
FAT,2019,6.0
Scientific Reports,2019,6.0
Journal of machine learning research,2016,6.0
Neural Information Processing Systems,2019,5.0
Neural Information Processing Systems,2017,5.0
Neural Information Processing Systems,2018,5.0
Neural Information Processing Systems,2019,5.0
Neural Information Processing Systems,2019,5.0
Neural Information Processing Systems,2019,5.0
Nature Genetics,2018,5.0
Nature,2021,5.0
Knowledge Discovery and Data Mining,2016,5.0
Annual Meeting of the Association for Computational Linguistics,2020,5.0
Annual Meeting of the Association for Computational Linguistics,2020,5.0
IEEE Transactions on Knowledge and Data Engineering,2019,5.0
Findings,2022,5.0
Communications of the ACM,2019,5.0
J. Am. Medical Informatics Assoc,2019,5.0
NeuroImage,2013,5.0
Neural Networks,2019,5.0
Nature Machine Intelligence,2021,5.0
Nature Machine Intelligence,2021,5.0
Nature Machine Intelligence,2020,5.0
Trends in Cognitive Sciences,2013,5.0
Queue,2018,5.0
ACM Computing Surveys,2019,5.0
National Academy of Sciences of the United States of America,2012,5.0
BlackboxNLP@EMNLP,2019,5.0
Neural Information Processing Systems,2019,4.0
Neural Information Processing Systems,2019,4.0
Neural Information Processing Systems,2019,4.0
Neural Information Processing Systems,2014,4.0
Neural Information Processing Systems,2019,4.0
IEEE Cloud Computing,2019,4.0
Nature Biotechnology,2020,4.0
Nature,2014,4.0
Nature,2019,4.0
Nature,2017,4.0
Nature,2016,4.0
Knowledge Discovery and Data Mining,2017,4.0
Knowledge Discovery and Data Mining,2018,4.0
Annual Meeting of the Association for Computational Linguistics,2020,4.0
Annual Meeting of the Association for Computational Linguistics,2021,4.0
Annual Meeting of the Association for Computational Linguistics,2021,4.0
Science,2019,4.0
Transactions of the Association for Computational Linguistics,2021,4.0
Angewandte Chemie,2016,4.0
Neural Networks,2016,4.0
Informatik Spektrum,2020,4.0
Journal of machine learning research,2022,4.0
Journal of machine learning research,2015,4.0
Journal of machine learning research,2023,4.0
Journal of machine learning research,2023,4.0
Nature Communications,2020,4.0
Nature Communications,2021,4.0
Nature Communications,2021,4.0
Nature Communications,2021,4.0
Nature Communications,2017,4.0
BMJ Quality & Safety,2020,4.0
ACM Computing Surveys,2021,4.0
National Academy of Sciences of the United States of America,2019,4.0
PeerJ,2015,4.0
Artificial Intelligence,2018,4.0
Sociological Methods & Research,2018,4.0
Journal of Chemical Information and Modeling,2020,4.0
BlackboxNLP@EMNLP,2020,4.0
Neural Information Processing Systems,2018,3.0
Neural Information Processing Systems,2018,3.0
Neural Information Processing Systems,2019,3.0
Neural Information Processing Systems,2012,3.0
Neural Information Processing Systems,2018,3.0
Neural Information Processing Systems,2016,3.0
Neural Information Processing Systems,2017,3.0
Neural Information Processing Systems,2020,3.0
Neural Information Processing Systems,2017,3.0
Neural Information Processing Systems,2021,3.0
Neural Information Processing Systems,2015,3.0
Neural Information Processing Systems,2023,3.0
Neural Information Processing Systems,2017,3.0
Neural Information Processing Systems,2018,3.0
Neural Information Processing Systems,2018,3.0
Neural Information Processing Systems,2015,3.0
Neural Information Processing Systems,2019,3.0
Neural Information Processing Systems,2019,3.0
IEEE Transactions on Industrial Informatics,2020,3.0
Minds and Machines,2020,3.0
Nature Biotechnology,2021,3.0
Nature,2014,3.0
Nature,2015,3.0
Nature,2019,3.0
Nature,2019,3.0
Nature,2014,3.0
Nature,2013,3.0
IEEE Transactions on Pattern Analysis and Machine Intelligence,2020,3.0
IEEE Access,2020,3.0
Knowledge Discovery and Data Mining,2019,3.0
Knowledge Discovery and Data Mining,2016,3.0
Knowledge Discovery and Data Mining,2018,3.0
Annual Meeting of the Association for Computational Linguistics,2021,3.0
Annual Meeting of the Association for Computational Linguistics,2021,3.0
Annual Meeting of the Association for Computational Linguistics,2022,3.0
Annual Meeting of the Association for Computational Linguistics,2023,3.0
Annual Meeting of the Association for Computational Linguistics,2021,3.0
Annual Meeting of the Association for Computational Linguistics,2020,3.0
IEEE Transactions on Knowledge and Data Engineering,2019,3.0
Science,2013,3.0
Science,2016,3.0
Science,2019,3.0
Science,2021,3.0
Science,2012,3.0
Nature Methods,2018,3.0
