venueName,venueType
/ International Conference of Software Engineering,Conference
/ International Conference on Data Engineering,Conference
AAAI Fall Symposium: Information Retrieval and Knowledge Discovery in Biomedical Text,Conference
AAAI Spring Symposium: Linked Data Meets Artificial Intelligence,Conference
AAMAS Workshops,Conference
ACM Asia Conference on Computer and Communications Security,Conference
"ACM Conference on Health, Inference, and Learning",Conference
ACM Great Lakes Symposium on VLSI,Conference
ACM International Workshop on Storage Security And Survivability,Conference
ACM SIAM Symposium on Discrete Algorithms,Conference
ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems,Conference
ACM SIGACT Symposium on Principles of Programming Languages,Conference
ACM SIGCOMM Conference,Conference
ACM SIGMOD Conference,Conference
ACM SIGPLAN International Workshop on Types In Languages Design And Implementation,Conference
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,Conference
ACM SIGPLAN Symposium on Programming Language Design and Implementation,Conference
ACM SIGSPATIAL International Workshop on Advances in Geographic Information Systems,Conference
ACM Symposium on Cloud Computing,Conference
ACM Symposium on Parallelism in Algorithms and Architectures,Conference
ACM Symposium on User Interface Software and Technology,Conference
ACM Workshop on Hot Topics in Networks,Conference
ACM/IEEE Design Automation Conference,Conference
"ACM/IEEE International Conference for High Performance Computing, Networking, Storage and Analysis",Conference
ACM/IEEE International Conference on Software Engineering,Conference
ACM/IEEE Joint Conference on Digital Libraries,Conference
ACM/IEEE SC2004 Conference,Conference
ACM/SIGCOMM Internet Measurement Conference,Conference
AFIPS Spring Joint Computing Conference,Conference
Advanced Industrial Conference on Telecommunications,Conference
Aegean Workshop on Computing,Conference
Alberto Mendelzon Workshop on Foundations of Data Management,Conference
"Allerton Conference on Communication, Control, and Computing",Conference
Alvey Vision Conference,Conference
American Control Conference,Conference
Annual Conference for Computer Science Logic,Conference
Annual Conference of the Gesellschaft für Klassifikation,Conference
Annual Conference on Genetic and Evolutionary Computation,Conference
Annual Conference on Information Sciences and Systems,Conference
Annual Haifa Experimental Systems Conference,Conference
Annual IEEE Conference on Local Computer Networks Workshops,Conference
Annual IEEE Symposium on Foundations of Computer Science,Conference
Annual IEEE Symposium on Logic in Computer Science,Conference
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,Conference
Annual International Conference of the IEEE Engineering in Medicine and Biology,Conference
Annual International Conference on Research in Computational Molecular Biology,Conference
Annual International Cryptology Conference,Conference
Annual International Symposium on Computer Architecture,Conference
Annual Symposium on Combinatorial Pattern Matching,Conference
Annual Symposium on Foundations of Computer Science,Conference
Asia Pacific Computer Systems Architecture Conference,Conference
Asia Pacific Conference on Conceptual Modelling,Conference
Asian Conference on Computer Vision,Conference
Asian Conference on Machine Learning,Conference
Australasian Database Conference,Conference
Australian Symposium on Service Research and Innovation,Conference
Brazilian Symposium on GeoInformatics,Conference
British National Conference on Databases,Conference
CAiSE Workshops,Conference
CCGrid . IEEE/ACM International Symposium on Cluster Computing and the Grid,Conference
CHI Conference Summary,Conference
CIE International Conference on Radar (Cat No.01TH8559),Conference
CVPR '88: The Computer Society Conference on Computer Vision and Pattern Recognition,Conference
CVPR IEEE Computer Society Conference on Computer Vision and Pattern Recognition,Conference
Canada International Humanitarian Technology Conference,Conference
