paperId,title,dbCitations
a6cb366736791bcccc5c8639de5a8f9636bf87e8,Adam: A Method for Stochastic Optimization,199
204e3073870fae3d05bcbc2f6a8e263d9b72e776,Attention is All you Need,119
2e9d221c206e9503ceb452302d68d10e293f2a10,Long Short-Term Memory,110
d2c733e34d48784a37d717fe43d9e93277a8c53e,ImageNet: A large-scale hierarchical image database,100
162d958ff885f1462aeda91cd72582323fd6a1f4,Gradient-based learning applied to document recognition,94
18a5f443299784479e78d9e77f175af57cb2fa2b,Bigtable: a distributed storage system for structured data,89
90abbc2cf38462b954ae1b772fac9532e2ccd8b0,Language Models are Few-Shot Learners,84
eb42cf88027de515750f230b23b1a057dc782108,Very Deep Convolutional Networks for Large-Scale Image Recognition,80
c5847fb3899eea98d544cced63d49886ecb17d9b,R-trees: a dynamic index structure for spatial searching,78
87f40e6f3022adbc1f1905e3e506abad05a9964f,Distributed Representations of Words and Phrases and their Compositionality,73
528838ae47c950720a8850792c09d4f82855bff4,Resilient Distributed Datasets: A Fault-Tolerant Abstraction for In-Memory Cluster Computing,69
fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5,Neural Machine Translation by Jointly Learning to Align and Translate,64
f37e1b62a767a307c046404ca96bc140b3e68cb5,GloVe: Global Vectors for Word Representation,62
e74f9b7f8eec6ba4704c206b93bc8079af3da4bd,ImageNet Large Scale Visual Recognition Challenge,61
2d867297dfe0d3ce2ed5b1d0f2dff88cac46ee94,Pregel: a system for large-scale graph processing,59
123fc2af8203708f8bd2b6c3e3d6a41dd8f9a30e,The log-structured merge-tree LSM-tree,58
4954fa180728932959997a4768411ff9136aac81,TensorFlow: A system for large-scale machine learning,57
054ce47ded43fcdd4f547466ee24ffb95b4e2fd9,Fast subsequence matching in time-series databases,57
cea967b59209c6be22829699f05b8b1ac4dc092d,Sequence to Sequence Learning with Neural Networks,55
c69859fd9ee74e5287c5dbf22ee7e82663fe8bdd,Benchmarking cloud serving systems with YCSB,55
d67feafc224cfb6c97655066c151723214c74567,Efficient Similarity Search In Sequence Databases,51
24281c886cd9339fe2fc5881faf5ed72b731a03e,Spark: Cluster Computing with Working Sets,49
7def002796277facffe02aa09e3a1bb101ec0785,Access path selection in a relational database management system,47
3ac939c4ada416858e1c1bff9e6f18aaa98323f3,Pig latin: a not-so-foreign language for data processing,47
5f5dc5b9a2ba710937e2c413b37b053cd673df02,Auto-Encoding Variational Bayes,47
a831bebe3947d22c88d84882fcd5cd2c09893171,The design and implementation of a log-structured file system,47
3127190433230b3dc1abd0680bb58dced4bcd90e,Large Scale Distributed Deep Networks,45
8978cf7574ceb35f4c3096be768c7547b28a35d0,A Fast Learning Algorithm for Deep Belief Nets,44
7d906f6632f8740b540ce4d710f53ab0f97cfd5b,Dynamo: amazons highly available key-value store,44
36eff562f65125511b5dfab68ce7f7a943c27478,Semi-Supervised Classification with Graph Convolutional Networks,43
0b544dfe355a5070b60986319a3f51fb45d1348e,Learning Phrase Representations using RNN EncoderDecoder for Statistical Machine Translation,43
55a62990a82bf9205e507f73d42583df46062806,A new approach to interdomain routing based on secure multi-party computation,41
adaa0523a5c9d5f92aa2009a51226391d8e62380,Fairness through awareness,40
72c78448fd8630545a3582c8e24cd7b88e008ab6,MonetDB/X100: Hyper-Pipelining Query Execution,40
f6b51c8753a871dc94ff32152c00c01e94f90f09,Efficient Estimation of Word Representations in Vector Space,40
4523a15a22bcabad38c81e1eba13a1bddd6704c5,Ubiquitous B-Tree,38
bee044c8e8903fb67523c1f8c105ab4718600cdb,Explaining and Harnessing Adversarial Examples,38
8429d29385ae410cef9a5cf6118528bbfc39a751,SCOPE: easy and efficient parallel processing of massive data sets,37
19a22753a1ef61c2bd19e97961f8ed1b5a073c2c,Hive - A Warehousing Solution Over a Map-Reduce Framework,37
