authorId,name,affiliations
2110218251,Ji Wang,
1575650353,Jiupeng Tang,
2063941500,Ajay Chander,
2109634458,Jim Clark,
2228560842,the Computerized Clinical Decision Support System Syst Team,
49901956,Tian Xie,
2093645,G. Malnati,
104924217,T. Mooring,
51430729,Nisha Bamel,
2346140,I. Mayer,
1678884,S. Narayanasamy,
46308692,Tiago Timponi Torrent,Federal University of Juiz de Fora
39130150,D. A. Dickie,
1410425402,Enrique Vidal-Ruiz,
2055050674,Philippe Jaeger,
46215301,M. Bergendahl,
2089290,Amber W. Lo,
2635532,N. Malleson,
2275245339,Peter Hoeschele,
14826703,C. Boya P.,
2116723349,Qiao Wang,
2153914077,Yi Zhang,
2772146,R. Mascellis,
143923678,Christine R. Kirkpatrick,
2055709,B. Rypma,
2418044,E. Stefanakis,
2734321,M. Plessen,
2152948655,Chung-Ching Chang,
35232949,C. Seiler,
2051546958,Imane Tronnebati,
144943727,S. Karthikeyan,
2056252976,Trang Vu,
1863323192,Diego Costa Pinto,
3212794,B. Schermer,
1409505383,Pooja Deo,
21687784,Luc Rocher,University of Oxford
50526223,Wenhui Huang,
2111333662,R. Sharma,
7385167,V. Melby,
1693601,U. Hohenstein,
6378989,Dawn M. Ciulla,
2162253468,Aleksandar Gavrić,
51877210,Kivan Polimis,
4869247,A. Rittmeyer,
38319302,W. Tam,
152422777,N. Shehadeh,
40464536,Ayushi Rastogi,
1709751,E. Tambouris,
2316129,M. Meilă,
3691127,S. Katikireddi,
144034247,Hongmei Dong,
1698696,Yiyu Yao,
7849025,R. Birkelund,
51437823,S. Asghar,
51896688,Maximilian Mumme,
49673417,Chen Li,
49517463,S. Ravi,
2318499072,Katroth Balakrishna Maruthiram,
49594724,L. Ding,
34572979,Jeffrey D. Robinson,
51935957,T. van der Poll,
1790787,Andrey Balmin,Workday
1686367,Youtao Zhang,
143720148,Jinwoo Shin,
3050606,S. Fazli,
1737974,J. Kolodziej,
39205442,Milan Agatonovic,
2111027355,Yifan Cai,
2110165806,Jiying Wang,
2053849768,Chu Myaet Thwal,Kyung Hee University
16185768,A. H. Kiran,
144537599,J. Sanz,
2249763478,Raphael Milliere,
2314224714,Anamika Singh,
1957738,S. Volchenboum,
2155989316,Cheng Zhang,
3433358,A. Muggeridge,
1723744,S. Vadhan,
5549600,M. Gawaz,
35206251,C. Palmer,
49909937,Tongtong Zhao,
1831764,Jaeyeon Kihm,
4726790,S. Tofail,
2239642974,F. Baader,
2120708,Stanislav Chren,
39689316,P. Thiessen,
49079642,A. Lane,
2257272397,Ryan Lowe,
2533074,U. Okongwu,
40288090,C. Bruna,
145612610,Doug Downey,Allen Institute for Artificial Intelligence; Northwestern University
2056689520,Ling Bao,
46750903,A. Nascetti,
14506308,Shui-lian Wang,
6096667,Akansha Gautam,
38109679,Oisik Das,
51194991,William E. Arter,
6084925,A. Jánosi,
144941745,R. Winter,
2295693,T. Alexandridis,
2662552,M. Svensén,
2220235497,Mamadou Makhtar Mbacké LEYE,
8303320,M. Knoll,
1722677,T. Asfour,
92061469,Srinivas Nunna,
4881074,B. Meyburg,
39873024,S. Benner,
1712372,V. Ratnakar,
1726081,C. Leung,
2118486029,Chang Liu,
1745644,Benny P. L. Lo,
46398772,Yi Liu,
2116279583,Chun-Hung Chen,
153120475,S. Carlsson,
35788904,Sung Ju Hwang,
48477753,Xinghua Dong,
2326427690,Caryl Emerson,
3321733,David Schwalb,
2108813110,Ying Han,
2160802763,Ishika Joshi,
145050510,C. Kwan,
2132135597,Midhun Xavier,
145107354,Eric Kingsley,
2808959,Joseph A. Calandrino,
144765080,Jun Rao,
14462720,F. Di Tria,
2116664181,Yixin Chen,
13086931,Yubai Zhou,
1986297,Q. Zeng,
2136534570,Nguyen,
1742930,E. André,
2057136815,J. Hayes,
144977499,Bin Song,
2110127,A. Rosato,
145643157,C. Carbone,
2261963764,John Benito,
2143385941,Bin Cui,
2152821434,Yan Zhang,
4992963,Kevin P. Cohoon,
1400276226,K. Porayska-Pomsta,
143953380,Stefan Strecker,
1761350,M. Mansour,
145634215,A. Abdellaoui,
2352410,J. Probst,
3054729,Evan Greensmith,
2156072370,Bin Li,
1411783122,David Baidoo-Anu,
1455171421,Mohd Ibrahim Shapiai. Razak,
1791431,Natasha Noy,
144769817,Jorge Gonçalves,
50371588,Rob W.W. Hooft,
1708083,L. Alvares,
2123062693,Byung-Gon Chun,
38612853,G. Giuliani,
2288846664,P. Ghosh,
144410654,J. M. David,
2782343,Jayesh Kamath,
122523701,Wanli Chang,
83742965,Seung-Mo Je,
2110028,Lucas Stich,
3397823,C. Barrios,
47777688,D. Pager,
78466988,N. Williams,
2380655,P. Wiktor,
4783273,Stefan Bonn,
144134982,Shan Lu,
2116439837,Jason Wang,
31455957,Ahmed Sharaf Eldin Ahmed,
2209018,Peter Fettke,
2145133350,J. Zheng,
50260319,Lijuan Cao,
47261946,Philipp Schmid,
52402923,Elisa Bassignana,IT University of Copenhagen
51139888,OpenAI,
145263677,P. Havinga,
145792378,Bernhard Rumpe,RWTH Aachen University
2047914233,Xiangchi Zhang,
2109648033,Amit Sharma,
3204274,Sara Alwaalan,
50844540,Emily A. Howson,
2051250,Rameshwar Dubey,
11591502,A. Mordvintsev,
2107939363,Liying Li,
30155667,Seb Noury,
144070773,Belén Vela,
1689050,Steve Harenberg,
144297190,A. Nayak,
1741550,T. Tokuda,
2346105,Jingkuan Song,
2892780,Esteban Real,
2104631,Hamish McWilliam,
87390216,P. Pistorius,
2113273511,Keval B Patel,
1567373717,P. Palmisciano,
4023070,A. Riley,
2785830,H. Kashima,
3363290,G. Hays,
1582226305,J. Ravindra,
40151687,Chenren Xu,
3433644,Hirra Anwar,
145994744,N. Selva,
49596195,Sameer Kumar,
48839652,Craig A. Schiller,
144893329,F. Hampel,
148429961,Z. Khan,
144996721,J. Swint,
5646903,K. Metcalfe,
81316798,Inioluwa Deborah Raji,
2047398193,Torben Teepe,
34984907,Jiwon Seo,
1707651,J. Simonsen,
67180560,Xuelong Li,
3274386,E. Haroutunian,
2114191258,Lingfeng Deng,
2312432346,Amalia Khusnul Irfani,
2010050,J. Skilling,
46607304,A. Villani,
6896362,Weisen Yu,
72631915,D. A. Yusuf,
40627883,F. F. Pastor,
2253759441,N.Y. Siddiqui,
1705421,Xieping Gao,
2812268,Yi-Cheng Tu,
2110760082,Anurag Gupta,
144609382,Jane Macfarlane,
1991835,A. Kasarskis,
145866489,V. Lanfranchi,
52641915,Wei-Chen Wei,
104208482,E. E. Khoda,
40127802,Fei Wang,
49436640,B. Nyberg,
2145351138,Dennis Wang,
2207390880,Muhammad Ikram ul Haq,
2227632290,C. Arcangeletti,
1773962,Y. Patt,
35186904,Damian Roca,
2659056,A. Longheu,
50604395,Matt Jones,
97896969,A. Howe,
1398675311,B. Scholz-Reiter,
32637894,G. Choe,
2116486950,Yucheng Liu,
2306184736,Gino J. Mongelluzzo,
145646810,S. Brinkkemper,
4027961,M. Kosiborod,
2061175737,T. Webb,
